Gene Symbol	KO1	KO2	KO3	KO4	KO5	WT1	WT2	WT3	WT4	WT5
Mix23	1949.7	1865.8	1404.7	2326.8	1424.6	1075.9	1663.8	2605.9	1260.8	1252
Manba	45.9	41.8	46	58.3	56.7	28.9	38.1	43.8	39.2	45.8
Las1l	41.6	39.2	32.6	51.4	42.7	29.7	33.3	32.6	31.8	42.4
Kng2	287.6	310.7	215.5	386	313.4	164.9	244.7	297.5	198.5	225.3
Cyb5b	2360.9	2277.2	1799.2	3640.2	2716.1	1499.3	2009.9	2842.3	1783	2112.4
Szrd1	186.5	201.2	149.5	237.6	216.1	116.2	158.9	233.3	142.9	195.3
Uqcrb	7804.7	7540.7	5971.4	9858.9	7022.4	4506.7	5733.6	8582	5084	6056.5
Rpl39	183	167.8	138.1	171.6	182.2	98.9	122.8	146.6	145.1	137.8
Dhx29	78.2	74.4	71.7	96.1	90.1	50.9	66.7	68.9	70.5	80.1
Zc3h18	345.7	362.4	242.7	394	346.8	215.5	263.9	308.1	213.7	304.4
Mia3	8652.2	8423.5	7036.7	10935.8	8571.7	5493.6	6768.5	9713.8	6508.4	7600.7
Dag1	639.3	643.5	490.7	843.3	649.1	416.1	520.2	779.5	473.3	593
Atp5if1	1211.4	1218.1	860.1	1592.3	1062.8	669.9	952.8	1419.9	710.8	900.5
Map4	2530.3	2699.2	1856.1	3175.2	2701.6	1642.6	2047.8	2993	1946.5	2427.1
Hp	3855	4378.3	2850.3	4051.4	3567.6	2296.8	2860.2	4330.8	2968.3	2187.6
Shfl	269.9	293.9	204.3	358.9	265.7	165.4	215.2	348.6	206.9	244.1
Tpmt	590.2	1139.3	912.5	756.6	1055.5	639.6	831.6	1173.7	803.2	786.5
Fkbp3	2390.5	2535.2	2019.6	3097.5	2550.7	1441	2019.7	3287	1842.1	2162.8
Tfam	3621.8	3501.1	2647.2	4446.3	2969.3	2092.1	2701.1	4152.3	2354.2	2638.1
Txndc5	5526	5038.7	3737.3	6929.4	5127	3198.6	4346.4	6328.8	3875.9	4051.2
Pds5b	36	40.8	33.3	58.5	39.8	20.8	32.2	41	29.5	30.6
Fam136a	4464.5	4190.8	3414.7	5463.2	3799.5	2518.1	3362.6	4976.1	2913.2	3639.4
Mrpl34	270.4	236.5	190.4	346.7	233.8	135.3	181.6	309.4	178.6	213.1
Coa3	834.1	896.7	636.9	1149.6	679	527	673.5	1104.5	644.1	608.4
FETUB	2084.7	2363.7	1602.6	3386.8	1745.3	1119	2591.5	3975.6	1612.3	1533.3
Clta	2985.6	3413.9	2541.7	3870.7	3096.5	1840.8	2385.6	3772	2367.5	2987
Ppfibp2	30.7	50	33.6	58.8	56.1	31	37.3	42.7	35.5	33.9
Lrrc59	7523.5	7090.9	6362.3	9367.5	6572.7	4373.6	5756.8	8777.2	5649.7	6576.3
Lurap1l	152.1	170.1	120.4	199.2	163.7	91.9	131.1	223	120.4	134.2
Cox5a	3739.8	4298.6	3081.7	5956.1	3069.3	2234.1	2253.4	3928.8	3080.4	2777.6
Zfand6	150.7	204.8	141.5	225.4	187.6	120.6	155.5	213.9	134.5	174
Pfdn4	69.1	91.8	55.2	102.1	94.2	47.4	67.8	113.9	64.6	76.8
P4hb	36752.5	34714.8	25416.7	51398.7	36396.4	22202.3	28131.1	42166.2	27937.1	28975.2
Coa7	1231.3	1121.6	778.7	1509.2	904	619.5	984.7	1631	797	702
Hspa5	31625.9	33115.1	20321.7	36170.7	25409.8	18577.1	25480	36545.4	24997.2	21370.4
Acyp1	397.1	444.8	301.2	496.8	354.2	260.7	343.1	597.2	298.9	307.8
Rida	5294.4	5708.4	6852.9	6693.1	6237.5	3473.7	4558.9	7147.9	4245.3	5796.4
Bnip3	412.3	425.7	358	596.7	403.5	270.6	318.8	531.7	318.8	370
Bcl2l1	22.7	34	28	31.9	27.2	17.1	23.3	34.7	22.7	19.8
S100a1	818.2	883.2	692.1	1100.1	917.9	498.9	707.7	1156.4	618.8	722.7
F11r	1105.7	925.4	831.2	1387.4	893.9	595	1002.1	1432.2	665.8	712.5
Pgrmc1	5842.3	5556.2	4649.4	7134.4	5551.4	3525.5	4131.1	6402.7	4272.4	5223.2
Ccdc51	342.6	367.8	263.8	443.8	320	221.8	263.6	425.1	285	250.9
Smarca2	49	68	45.8	72.6	69.2	42.7	48.2	52.9	46.2	56.1
Cc2d1a	136.3	140.9	105.9	199.4	136.8	74.7	110.2	142.4	105.5	127.1
H2-K1	2687.7	1833.4	1884.1	2613.8	1836.4	1418.5	1515.3	2161.4	1548.2	1595.6
Pum3	51.4	37.8	42.8	46.6	52.3	32.5	41.2	32.9	46.4	40.1
Gypc	115.7	106.6	71.5	141	94.8	52.3	87.3	131.4	57.3	73
Rplp2	3454.6	3472.5	2802.5	4557	3452.6	2037.5	2605.9	3763.3	2664	3189
Pml	667.8	624.6	473.9	708.2	610.6	415.5	469.2	543.7	421.4	479.3
Tpm3-rs7	8540.5	9333.7	6736.3	10967.6	9136.7	5645.6	7238.7	10442.8	6625	8373.6
Rbm25	773.2	799.8	623.4	961.6	1120.4	474.4	671.4	853.4	573.2	691.7
Rrs1	248.8	237.5	181.5	313.4	221.7	142.2	189.4	290.2	171.3	181.5
Skp1	2311.8	2669.8	1880.6	3145	2605.2	1505.8	2020.1	3354.9	1909.9	2314
Hnrnpab	5043.8	5442.7	3657.4	5927.9	4705.4	3059.1	4219.8	6367	3780.4	3618.2
Tmed1	295.7	298.6	215.5	358.3	302.2	160.8	229.7	362.5	228.5	227.9
Pfdn1	441	508.9	343.6	579.1	488.6	292.3	404.8	584.4	339.1	466.4
Erh	1573.8	1642.7	1205	2019.2	1457	922	1239.8	1980.9	1176.4	1258.3
Sh3gl3	237.1	200	373.6	281	346.6	157.3	189.1	276.7	205.4	175.4
Rbbp6	447.3	509.3	380.3	558.4	476	279.1	396.8	446	313.4	412.8
Tmem109	998.9	929.3	820.5	1280.7	981.5	586.6	783.7	1133	760.4	978.1
Nucks1	1516.3	1663.8	1283.4	1791.5	1778.4	702.3	1321.4	2049.2	906.5	1528.9
S2bpcox16	1376.5	1244.4	1015.8	1676	1209.6	756.9	1031.5	1472.4	937.9	1018
Rnf114	99.4	121.3	96.6	145.5	88.7	70.8	96.9	158.1	107.4	83.6
Mtrfr	476.8	453.9	336.6	632.9	396.3	276.4	332.4	529.9	316.1	387
Gyg1	623.9	805.9	579.6	893.2	708	462.2	558.6	827.5	550.7	725.9
Ttr	1495.4	2001.4	735.2	2609.5	1490.5	1036.8	1215.3	1925.3	1177.1	1094.3
Creld2	1318	1181.4	815.3	1366.4	992.4	671.9	945.8	1210.1	837.8	934.2
	430.8	384.3	310.8	539.9	347.9	231	318.9	567.2	278.2	269.5
Rock1	96.3	123.6	96.1	127.1	113	71.3	96.5	100	87	99.8
